country,total_confirmed,total_deaths,total_recovered,active_cases,serious_or_critical
Afghanistan,179267,7690,162202,9375,1124
Albania,275574,3497,271826,251,2
Algeria,265816,6875,178371,80570,6
Andorra,42156,153,41021,982,14
Angola,99194,1900,97149,145,
Anguilla,2984,9,2916,59,4
Antigua And Barbuda,7721,137,7511,73,1
Argentina,9101319,128729,8895999,76591,372
Armenia,422896,8623,412048,2225,
Aruba,35693,213,35199,281,
Australia,6593795,7794,6199822,386179,129
Austria,4212492,18303,4135885,58304,58
Azerbaijan,792638,9709,782869,60,
Bahamas,33871,801,32488,582,
Bahrain,576997,1479,569758,5760,4
Bangladesh,1953012,29127,1899419,24466,1273
Barbados,76261,433,71497,4331,
Belarus,982867,6978,,,
Belgium,4116397,31613,3941350,143434,117
Belize,57896,676,56761,459,6
Benin,26952,163,25506,1283,5
Bermuda,14135,135,13664,336,
Bhutan,59570,21,59491,58,
Bolivia,906146,21943,863665,20538,220
Bosnia And Herzegovina,377511,15778,,,
Botswana,306324,2690,303026,608,1
Brazil,30682094,664920,29718402,298772,8318
British Virgin Islands,6573,62,,,1
Brunei Darussalam,144659,220,142788,1651,
Bulgaria,1161504,37045,1014302,110157,54
Burkina Faso,20853,382,20439,32,
Burundi,41235,38,,,
Cabo Verde,56105,401,55613,91,23
Cambodia,136262,3056,133194,12,
Cameroon,119780,1927,117791,62,13
Canada,3821346,40228,3499564,281554,423
Caribbean Netherlands,9915,35,9829,51,
Cayman Islands,23578,28,8553,14997,1
Central African Republic,14649,113,6859,7677,2
Chad,7414,193,4874,2347,
Channel Islands,75275,173,74574,528,
Chile,3605522,57722,3468131,79669,159
China Hong Kong Sar,1208506,9361,,,5
China Macao Sar,82,,82,0,
China,221804,5209,210454,6141,383
Colombia,6095316,139821,5928829,26666,342
Comoros,8100,160,7933,7,
Congo,24079,385,20178,3516,
Cook Islands,5410,1,5291,118,
Costa Rica,866164,8444,841683,16037,48
Cote D Ivoire,81989,799,81168,22,
Croatia,1131450,15930,1111405,4115,15
Cuba,1104589,8529,1095534,526,23
Curacao,43017,275,42203,539,3
Cyprus,477711,1032,124370,352309,60
Czech Republic,3915847,40245,3871654,3948,14
Democratic Republic Of The Congo,87023,1337,50930,34756,
Denmark,2976667,6287,2960386,9994,12
Djibouti,15631,189,15427,15,
Dominica,12685,63,12323,299,
Dominican Republic,580412,4376,575583,453,1
Ecuador,872268,35607,,,759
Egypt,515645,24613,442182,48850,122
El Salvador,162089,4129,150662,7298,8
Equatorial Guinea,15910,183,15701,26,5
Eritrea,9745,103,9632,10,
Estonia,573922,2556,514836,56530,3
Ethiopia,470937,7510,455757,7670,8
Faeroe Islands,34658,28,7693,26937,5
Falkland Islands Malvinas,1126,,,,
Fiji,64773,862,62875,1036,
Finland,1069740,4284,,,21
France,29160802,147257,28156674,856871,1329
French Guiana,81784,397,11254,70133,1
French Polynesia,72821,649,,,7
Gabon,47608,304,47297,7,
Gambia,11999,365,11591,43,
Georgia,1655221,16811,1637293,1117,
Germany,25780226,137919,23956700,1685607,1279
Ghana,161280,1445,159788,47,1
Gibraltar,18129,102,16579,1448,
Greece,3392575,29547,3306014,57014,176
Greenland,11971,21,2761,9189,4
Grenada,16344,221,14634,1489,4
Guadeloupe,140130,854,2250,137026,19
Guatemala,851877,17792,831794,2291,5
Guinea Bissau,8222,171,8010,41,6
Guinea,36597,442,36113,42,8
Guyana,63804,1228,62301,275,
Haiti,30713,835,29605,273,
Holy See,29,,29,0,
Honduras,424390,10896,132358,281136,105
Hungary,1909948,46343,1821435,42170,29
Iceland,186545,120,,,
India,43121599,524214,42579693,17692,698
Indonesia,6050776,156458,5889534,4784,2771
Iran,7228051,141224,7020835,65992,737
Iraq,2326458,25216,2299985,1257,10
Ireland,1535451,7203,1499879,28369,28
Isle Of Man,28416,105,26794,1517,
Israel,4106793,10749,4081150,14894,150
Italy,17057873,165244,15894511,998118,347
Jamaica,131980,2995,84883,44102,
Japan,8338211,30039,7951587,356585,139
Jordan,1694216,14048,1678941,1227,124
Kazakhstan,1305636,13661,1291669,306,24
Kenya,324026,5649,318142,235,
Kiribati,3093,13,2602,478,3
Kuwait,632074,2555,629114,405,3
Kyrgyzstan,200993,2991,196406,1596,131
Laos,209386,754,,,
Latvia,825699,5798,816253,3648,6
Lebanon,1097956,10407,1084853,2696,186
Lesotho,32910,697,24155,8058,
Liberia,7451,294,5747,1410,2
Libya,501904,6430,490973,4501,101
Liechtenstein,17347,84,17192,71,1
Lithuania,1060619,9127,1032609,18883,11
Luxembourg,244182,1073,235939,7170,
Macedonia,310684,9289,300761,634,
Madagascar,64236,1393,59370,3473,14
Malawi,85887,2636,82703,548,67
Malaysia,4475873,35612,4409159,31102,47
Maldives,179483,298,163687,15498,25
Mali,31003,733,30088,182,
Malta,93508,713,90076,2719,4
Marshall Islands,17,,14,3,
Martinique,153253,926,104,152223,8
Mauritania,58840,982,57708,150,
Mauritius,37843,996,36183,664,
Mayotte,37363,187,2964,34212,
Mexico,5745652,324465,5044893,376294,4798
Micronesia,7,,1,6,
Moldova,516986,11489,504142,1355,49
Monaco,12004,54,11866,84,4
Mongolia,469885,2179,313256,154450,192
Montenegro,236277,2719,232955,603,6
Montserrat,747,2,390,355,
Morocco,1165795,16071,1149054,670,293
Mozambique,225493,2201,223190,102,13
Myanmar,613140,19434,592089,1617,
Namibia,160074,4028,153662,2384,
Nauru,8,,5,3,
Nepal,978998,11952,966904,142,
Netherlands,8067116,22292,7989151,55673,55
New Caledonia,61049,312,60339,398,9
New Zealand,1043683,923,989005,53755,
Nicaragua,18491,225,4225,14041,
Niger,9013,310,8579,124,1
Nigeria,255859,3143,249943,2773,11
Niue,9,,9,0,
Norway,1429717,3061,,,20
Oman,389408,4260,384592,556,2
Pakistan,1529249,30376,1494141,4732,109
Palau,4879,6,4166,707,1
Panama,806277,8203,773421,24653,16
Papua New Guinea,43876,651,43200,25,7
Paraguay,649718,18872,624673,6173,2
Peru,3571919,213023,,,248
Philippines,3687922,60455,3624459,3008,289
Poland,6003436,116207,5335112,552117,981
Portugal,4066674,22583,,,61
Qatar,366179,677,364474,1028,1
Reunion,405980,762,395430,9788,10
Romania,2903072,65612,,,138
Russia,18260293,377670,17647179,235444,2300
Rwanda,129907,1459,45522,82926,
Saint Barthelemy,4611,6,,,
Saint Helena,2,,2,0,
Saint Kitts And Nevis,5605,43,5547,15,
Saint Lucia,24267,368,23277,622,1
Saint Martin,10602,63,1399,9140,7
Saint Pierre And Miquelon,2739,1,2449,289,1
Saint Vincent And The Grenadines,6799,106,6641,52,
Samoa,11313,24,1605,9684,4
San Marino,16852,115,16454,283,4
Sao Tome And Principe,5970,73,5891,6,
Saudi Arabia,759226,9116,743921,6189,61
Senegal,86039,1966,84059,14,
Serbia,2012836,16049,1988209,8578,12
Seychelles,43235,167,42553,515,
Sierra Leone,7682,125,,,
Singapore,1240233,1362,1162140,76731,8
Sint Maarten,10123,86,9985,52,10
Slovakia,1787093,20041,1761664,5388,30
Slovenia,1019468,6622,1003559,9287,9
Solomon Islands,18174,146,16357,1671,2
Somalia,26518,1350,13182,11986,
South Africa,3887449,100753,3708347,78349,192
South Korea,17782061,23709,,,338
South Sudan,17525,138,13514,3873,1
Spain,12127122,105444,11548089,473589,339
Sri Lanka,663671,16511,646921,239,
State Of Palestine,582119,5353,576684,82,17
Sudan,62161,4936,,,
Suriname,80008,1337,49455,29216,
Swaziland,71698,1402,69549,747,11
Sweden,2504894,18864,2477725,8305,9
Switzerland,3631881,13882,3551493,66506,78
Syria,55869,3150,52479,240,
Taiwan,768543,1068,60634,706841,
Tajikistan,17388,124,17264,0,
Tanzania,35354,840,,,7
Thailand,4373846,29475,4273599,70772,1496
Timor Leste,22889,131,22746,12,
Togo,37023,273,36727,23,
Tonga,11049,11,10110,928,
Trinidad And Tobago,154643,3871,141354,9418,18
Tunisia,1041197,28575,,,29
Turkey,15053168,98890,14951238,3040,975
Turks And Caicos Islands,6046,36,5963,47,4
Uganda,164069,3596,100205,60268,2
UK,22159805,176708,21677896,305201,253
Ukraine,5006460,108449,,,177
United Arab Emirates,902484,2302,886128,14054,
Uruguay,902540,7213,892434,2893,18
USA,84209473,1026646,81244260,1938567,1941
Uzbekistan,238802,1637,236974,191,23
Vanuatu,8457,14,7974,469,
Venezuela,522921,5711,516170,1040,230
Viet Nam,10696630,43065,9355040,1298525,340
Wallis And Futuna Islands,454,7,438,9,
Western Sahara,10,1,9,0,
Yemen,11819,2149,9009,661,23
Zambia,320591,3983,315997,611,
Zimbabwe,249206,5482,242417,1307,12
